ASA	REY_DE	JUDAH	2CH 16:1
ASA	REY_DE	JUDAH	2CH 16:7
ASA	REY_DE	JUDAH	2CH 21:12
ASAHEL	HERMANO_DE	JOAB	1CH 11:26
ASAHEL	HERMANO_DE	JOAB	1CH 27:7
ASAHEL	HERMANO_DE	JOAB	2SA 23:24
ASAPH	HIJO_DE	BERECHIAH	1CH 15:17
ASAPH	HIJO_DE	BERECHIAH	1CH 6:39
ASHHUR	PADRE_DE	TEKOA	1CH 2:24
ASHHUR	PADRE_DE	TEKOA	1CH 4:5
ATHAIAH	HIJO_DE	UZZIAH	NEH 11:4
AZAREL	HIJO_DE	JEROHAM	1CH 27:22
AZARIAH	HIJO_DE	HILKIAH	1CH 9:11
AZARIAH	HIJO_DE	HILKIAH	EZR 7:1
AZARIAH	HIJO_DE	HOSHAIAH	JER 43:2
AZARIAH	HIJO_DE	JEHALLELEL	2CH 29:12
AZARIAH	HIJO_DE	JEHORAM	2CH 22:6
AZARIAH	HIJO_DE	JEROHAM	2CH 23:1
AZARIAH	HIJO_DE	JOHANAN	2CH 28:12
AZARIAH	HIJO_DE	NATHAN	1KI 4:5
AZARIAH	HIJO_DE	OBED	2CH 23:1
